with_zx,span,comp_state,prefix,time,data,mrt_file,status
0,0,none,1.0.4.0/24,0.629,140548,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,1.0.4.0/24,0.606,139100,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,1.0.4.0/24,0.637,127516,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,5.156.101.0/24,1.253,440284,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,5.156.101.0/24,1.239,408004,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,5.156.101.0/24,0.777,283922,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,13.111.3.0/24,1.497,780564,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,13.111.3.0/24,1.501,737124,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,13.111.3.0/24,0.418,139122,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,23.229.84.0/24,1.877,1194692,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,23.229.84.0/24,1.627,1212068,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,23.229.84.0/24,0.412,188354,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,27.121.88.0/24,1.972,1630540,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,27.121.88.0/24,1.701,1634884,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,27.121.88.0/24,0.654,404107,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,2001:67c:5d4::/48,2.126,2887404,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,2001:67c:5d4::/48,1.865,2842516,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,2001:67c:5d4::/48,1.085,1116523,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,2001:4d78:300::/40,3.358,3237820,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,2001:4d78:300::/40,3.405,3120532,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,2001:4d78:300::/40,0.426,246275,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,2405:d300:20::/48,3.382,3686700,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,2405:d300:20::/48,3.903,3625884,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,2405:d300:20::/48,0.423,246275,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,2600:6:ff09::/48,3.729,4090692,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,2600:6:ff09::/48,3.672,4103724,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,2600:6:ff09::/48,0.451,244827,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,2606:2a00::/32,4.265,4701748,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,2606:2a00::/32,0.397,246275,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,2606:2a00::/32,0.733,485195,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,38.69.140.0/24,4.124,5362036,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,38.69.140.0/24,0.772,727011,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,38.69.140.0/24,0.592,320123,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,2804:c24::/32,2.856,6139612,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,2804:c24::/32,2.363,1430739,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,2804:c24::/32,0.455,246275,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,41.215.164.0/24,4.367,6420524,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,41.215.164.0/24,1.403,1975187,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,41.215.164.0/24,1.060,292611,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,2a02:540:e::/48,5.077,6921532,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,2a02:540:e::/48,1.737,2565971,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,2a02:540:e::/48,0.734,551803,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,2a05:5504:6::/48,4.933,7528244,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,2a05:5504:6::/48,0.870,744387,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,2a05:5504:6::/48,0.404,246275,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,2c0f:f3c8::/32,3.105,8236316,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,2c0f:f3c8::/32,1.182,1304763,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,2c0f:f3c8::/32,0.593,338947,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,46.19.77.0/24,5.316,8508540,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,46.19.77.0/24,1.406,1786947,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,46.19.77.0/24,0.557,285371,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,49.248.221.0/24,5.188,8876332,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,49.248.221.0/24,1.607,2113986,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,49.248.221.0/24,0.448,246275,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,59.0.173.0/24,5.283,9189100,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,59.0.173.0/24,1.526,2421171,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,59.0.173.0/24,0.403,246275,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,62.76.254.0/24,5.061,9445396,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,62.76.254.0/24,0.677,431619,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,62.76.254.0/24,0.554,288267,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,64.55.34.0/24,5.520,9795812,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,64.55.34.0/24,0.898,741491,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,64.55.34.0/24,0.452,244827,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,65.48.180.0/24,5.471,9991292,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,65.48.180.0/24,1.021,1043214,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,65.48.180.0/24,0.529,267995,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,66.152.112.0/24,6.487,10354740,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,66.152.112.0/24,1.273,1369923,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,66.152.112.0/24,0.428,243379,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,67.229.86.0/24,5.705,10699364,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,67.229.86.0/24,1.399,1715995,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,67.229.86.0/24,0.405,244827,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,69.167.112.0/24,6.211,11094668,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,69.167.112.0/24,1.612,2143155,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,69.167.112.0/24,0.592,382388,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,72.246.118.0/24,3.634,11584092,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,72.246.118.0/24,1.524,2444339,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,72.246.118.0/24,0.427,246276,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,77.77.24.0/24,6.565,11791156,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,77.77.24.0/24,0.676,460580,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,77.77.24.0/24,0.736,146364,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
